Project_Name,Winner,Project_Link,Built_With
Fly for the Future,True,https://devpost.com/software/fly-for-the-future,"autodraw
canva
itch.io
pixlr
unity
unsplash"
ChatterBot,True,https://devpost.com/software/chatterbot,"flask
html
javascript
openai
tailwindcss
webspeechapi"
FuTourist,True,https://devpost.com/software/futourist,"daisyui
express.js
github
githubpages
node.js
react
tailwindcss
twilio"
Tecmi Interstellar,True,https://devpost.com/software/tecmi-interstellar,"css3
figma
html
javascript
jquery
wix"
Deskbot Assembly Station,True,https://devpost.com/software/deskbot-assembly-station,"netlify
react
unreal-engine"
Techknowledgy,True,https://devpost.com/software/explain-tech,"express.js
natural-language-processing
react"
Galaxia Getaways,True,https://devpost.com/software/galaxia-getaways,"css3
html5
javascript
nextjs
react"
Watch your Mouth,True,https://devpost.com/software/watch-your-mouth,"cohere
javascript
python
react
tailwind
twilio"
GoodGrub,True,https://devpost.com/software/goodgrub,"git
github
hedera
javascript
nextjs
supabase"
HyperBolt Spacecar Builder,False,https://devpost.com/software/hyperbolt-spacecar-builder,visual-studio
CallingBot,False,https://devpost.com/software/callingbot,"django
react
twilio"
Game Stop Game Recommender,False,https://devpost.com/software/game-stop-game-recommender,"eclipse
java"
The EV Game,False,https://devpost.com/software/the-ev-game,"css
html5
javascript"
Splice Chat,False,https://devpost.com/software/splice-chat-app,"chakra
express.js
javascript
mongodb
node.js
react
react-native
tesseract"
tic-tac-toe,False,https://devpost.com/software/tic-tac-toe-7j84ne,"css
firebase
javascript
python
react"
Majestic,False,https://devpost.com/software/majestic,"dalle
nextjs
openai
postgresql
prisma
replicate
vercel"
Electrico,False,https://devpost.com/software/electrico-jv5afs,"css
html
javascript
json"
Physics Test,False,https://devpost.com/software/physics-test,"java
javascript"
The Future of Healthcare,False,https://devpost.com/software/the-future-of-healthcare,"css
html"
STAR ⭐ NOVA,False,https://devpost.com/software/star-nova,"css3
html
mbot
replit
scratch"
SecureMD,False,https://devpost.com/software/securemd,"css3
hedera
html5
javascript
python
twilio
wix"
Water conservation,False,https://devpost.com/software/water-conservation-6ok43y,scratch
How to Make a Better Future,False,https://devpost.com/software/how-to-make-a-better-future,"css
html
scratch"
A.I. Pros and Cons,False,https://devpost.com/software/a-i-pros-and-cons,"glitch
scratch"
Solar Panels Are The Future,False,https://devpost.com/software/solar-panels-are-the-future,"replit
scratch"
The Ninth Planet,False,https://devpost.com/software/the-ninth-planet,"html
scratch"
Supportive Careers,False,https://devpost.com/software/supportive-careers,"html
scratch"
