Project_Name,Winner,Project_Link,Built_With
Theriac,True,https://devpost.com/software/theriac,"css
express.js
google
google-cloud
googlefit
html
node.js
twilio"
Symphony,True,https://devpost.com/software/undecided-h356up,"css
html
javascript"
InterviewPrep,True,https://devpost.com/software/interviewprep,"api
complexityintelligence-named-entity-recognition
css
django
godaddy
google-web-speech-api
html
javascript
natural-language-processing
nlp-model
python
react
rest
spacy
speech-recognition
speech-to-text
speechapi
sqlite
vite"
Deia,True,https://devpost.com/software/deia,"flask
python
react
tailwind"
Dr. Allguide,True,https://devpost.com/software/dr-allguide,"css3
html5
javascript
json"
ConnectHelp,True,https://devpost.com/software/connecthelp,"cockroachdb
html5
sendgrid
twilio
velo
wix"
Screen2Braille,True,https://devpost.com/software/screen2braille,"arduino
c/c++
css3
html5
iot
javascript"
TrackMyFocus,True,https://devpost.com/software/trackmyfocus,"auth0
cockroachdb
css3
electron
godaddy
html5
react
typescript
vite
windicss"
Bacces Bite,True,https://devpost.com/software/bacces-bite,"css
html5
javascript
velo
vercel"
Paysafe,False,https://devpost.com/software/paysafe-eg9py4,"css3
html5
javascript"
Inhance,False,https://devpost.com/software/inhance,"css
html
javascript"
Adoptisity,False,https://devpost.com/software/adoptisity,"javascript
velo
wix"
Akadion (Proof of transaction),False,https://devpost.com/software/akadion-proof-of-transaction-57zsa1,"alchemyapi
css3
html5
javascript
react
solidity"
Message-app,False,https://devpost.com/software/message-app-8g0xpk,"react
stream"
Supporting Stick,False,https://devpost.com/software/supporting-stick,flutter
WASD - We Are Surely Developers,False,https://devpost.com/software/we-are-surely-devs,"auth0
css3
godaddy
html5
javascript
kaboom
node.js
react
stream
vercel"
AccessWeb,False,https://devpost.com/software/accessweb,"css3
flask
html
python
speechrecognition"
Kavach,False,https://devpost.com/software/kavach-rox3fw,django
Accsensible,False,https://devpost.com/software/accsensible,"api
javascript
mantine
next
node.js
react
webhint"
ReadForGood,False,https://devpost.com/software/readforgood,"css
html
javascript
p5
speechapi"
Chat Rooms,False,https://devpost.com/software/anonymous-chat-room-k26tj4,"css
express.js
node.js
react
socket.io
tailwindcss"
Cyber Pal,False,https://devpost.com/software/cyber-pal,"ai
python"
Exploring gesture detection with Tensorflow.js framwork,False,https://devpost.com/software/exploring-gesture-detection-with-tensorflow-js-framwork,"react.js
tensorflow.js"
Neesole.co is shoe selling website,False,https://devpost.com/software/neesole-co-is-shoe-selling-website,"css3
html5
javascript"
NFTalks,False,https://devpost.com/software/nftalks,"api
chatengine
css
react"
Computer vision project image project,False,https://devpost.com/software/computer-vision-project-image-project,"opencv2
python
tkinter"
TechFund,False,https://devpost.com/software/techfund,react
apdecide,False,https://devpost.com/software/apdecide,"bootstrap
css
html5
javascript"
